"id","property_id","cluster_manager_id","manager_id","tenant_id","bed_id","booking_category","stay_tenure","payment_type","booking_amount","move_in_charge","deposit_price","discount_price","bed_price","due_fee","total_price","collect_fee","create_date","status"
"135","35","647","963","1016","1650","instant-booking","","monthly","","","6250","0","69600","70600","70600","0","2018-06-20","1"
"136","3","58","0","923","185","instant-booking","","half-yearly","","","0","0","192000","197500","197500","0","2018-06-20","1"
"137","3","58","0","52","187","pre-booking","","half-yearly","","","0","0","192000","197500","197500","0","2018-06-20","0"
"138","3","58","0","931","188","pre-booking","","half-yearly","","","0","0","192000","197500","197500","0","2018-06-20","0"
"139","3","58","0","922","1080","instant-booking","","half-yearly","","","0","0","180000","184500","185500","1000","2018-06-20","1"
"140","3","58","0","646","1497","instant-booking","","half-yearly","","","0","0","180000","185500","185500","0","2018-06-20","1"
"141","3","58","0","925","1498","instant-booking","","half-yearly","","","0","0","180000","0","185500","185500","2018-06-20","1"
"142","35","647","963","1018","1700","instant-booking","","monthly","","","5500 ","300 ","69600","64100","69600","5500","2018-06-20","1"
"143","35","647","963","1024","1701","pre-booking","","monthly","","","0","0","69600","69600","70600","1000","2018-06-20","1"
"144","33","58","0","1020","1539","pre-booking","","half-yearly","","","0","0","204000","76000","209500","133500","2018-06-20","1"
"145","35","647","963","1028","1704","pre-booking","","monthly","","","0","0","69600","71600","71600","0","2018-06-20","1"
"146","33","58","0","1022","1543","pre-booking","","half-yearly","","","0","0","204000","204000","209500","5500","2018-06-20","1"
"147","33","58","0","483","1544","pre-booking","","half-yearly","","","0","0","204000","204000","209500","5500","2018-06-20","0"
"148","33","58","0","1023","1547","instant-booking","","half-yearly","","","0","0","192000","132000","197500","65500","2018-06-20","1"
"149","33","58","0","1025","1551","pre-booking","","half-yearly","","","0","0","204000","209500","209500","0","2018-06-20","1"
"150","33","58","0","1027","1574","instant-booking","","half-yearly","","","0","0","324000","229500","329500","100000","2018-06-20","1"
"151","35","647","963","1029","1710","instant-booking","","monthly","","","5500","300 ","69600","59100","70100","11000","2018-06-20","1"
"152","35","647","963","1030","1711","instant-booking","","monthly","","","5500 ","300 ","69600","64600","70100","5500","2018-06-20","1"
"153","14","58","0","1031","918","instant-booking","","half-yearly","","","0","0","192000","192000","197500","5500","2018-06-20","1"
"154","14","58","0","479","924","pre-booking","","half-yearly","","","0","0","204000","209500","209500","0","2018-06-20","1"
"155","35","647","963","1032","1714","instant-booking","","monthly","","","","300 ","69600","64600","70100","5500","2018-06-20","1"
"156","35","647","963","1034","1712","instant-booking","","monthly","","","5500 ","300 ","69600","58600","70100","11500","2018-06-20","1"
"157","35","647","963","1035","1715","instant-booking","","monthly","","","14000","0","69600","40600","70600","30000","2018-06-20","1"
"158","22","651","0","1038","1123","instant-booking","","monthly","","","0","1000","144000","80500","80500","0","2018-06-20","1"
"159","51","644","654","1042","2216","instant-booking","","monthly","0","0","0","0","138000","121000","138000","17000","2018-06-20","0"
"160","51","644","654","657","2196","pre-booking","","monthly","0","0","0","0","150000","134000","150000","16000","2018-06-20","1"
"161","51","644","654","664","2197","instant-booking","","monthly","0","0","0","0","150000","150000","150000","0","2018-06-20","1"
"162","51","644","654","668","2184","instant-booking","","monthly","0","0","0","0","150000","141000","150000","9000","2018-06-20","1"
"163","51","644","654","671","2198","","","monthly","0","0","0","0","150000","141500","150000","8500","2018-06-20","1"
"164","51","644","654","672","2199","","","monthly","0","0","0","0","150000","141500","150000","8500","2018-06-20","1"
